timestamps,open,high,low,close,volume,amount,ret_1,ret_5,ret_10,log_vol_chg,rsi_14,macd,bb_pos,atr_14,obv_slope,sma_ratio,rvol_5,rvol_20,target_up,next_ret,split
2023-02-03,148.02999877929688,157.3800048828125,147.8300018310547,154.5,154357300.0,23848202850.0,0.024399897209064214,0.058726839953038956,0.12062091442505118,0.26571665598179806,74.2716933701803,1.7814498270892964,0.7752413766290946,0.02767549437817306,352219100.0,0.10757452345339846,0.021424280357407635,0.013969167067262681,0,-0.01792883024246561,train
2023-02-06,152.57000732421875,153.10000610351562,150.77999877929688,151.72999572753906,69858300.0,10599599560.533142,-0.01792883024246561,0.06104892117160188,0.07526040019312741,-0.7928011324025448,67.7045045990587,1.6560975682341272,0.5709448295018323,0.02791906363240495,346376100.0,0.07916455075924778,0.020635308381292204,0.013955394211806955,1,0.019244699473851767,train
2023-02-07,150.63999938964844,155.22999572753906,150.63999938964844,154.64999389648438,83322600.0,12885839581.439207,0.019244699473851767,0.07179985510018883,0.08503469600076907,0.17625091388600822,70.6505717588618,1.6547227146348717,0.6439644085999328,0.02755534200086605,363824200.0,0.0904321497972631,0.020761185907287122,0.014142202041243496,0,-0.017652737376545935,train
2023-02-08,153.8800048828125,154.5800018310547,151.1699981689453,151.9199981689453,64120100.0,9741125474.59259,-0.017652737376545935,0.04462632070423567,0.07091496909143302,-0.26196192998858336,64.70739458599598,1.3667857100657215,0.4674202197064186,0.027683099928736934,222040500.0,0.06324010076926356,0.025323643881694575,0.015311694254687102,0,-0.006911552556695955,train
2023-02-09,153.77999877929688,154.3300018310547,150.4199981689453,150.8699951171875,56007100.0,8449790903.527832,-0.006911552556695955,0.00033144006458840636,0.04799936149665851,-0.13527941664398213,62.528703300620094,1.0184292611665064,0.37832429417698327,0.027735808470116037,47694400.0,0.04950850449042976,0.020287187530032707,0.015297157658294045,1,0.0009279472007650558,train
2023-02-10,149.4600067138672,151.33999633789062,149.22000122070312,151.00999450683594,57450700.0,8675629891.41388,0.0009279472007650558,-0.022589032318213964,0.034811225149179226,0.025448719867348757,62.70899103500452,0.7240864652179795,0.35488067842268645,0.02673357200708731,-49212200.0,0.04409087766148412,0.015430574243009554,0.015264950294082681,1,0.01880677902118011,train
2023-02-13,150.9499969482422,154.25999450683594,150.9199981689453,153.85000610351562,62199000.0,9569316529.632568,0.01880677902118011,0.013972256216123968,0.07587416855605333,0.07941173238787513,66.255855073812,0.6496864480726914,0.4715081824840752,0.0259164628945391,82845100.0,0.056752859344065154,0.01614577304448806,0.015500383646621093,0,-0.004224953717818392,train
2023-02-14,152.1199951171875,153.77000427246094,150.86000061035156,153.1999969482422,61707600.0,9453604131.68335,-0.004224953717818392,-0.009375990982662064,0.061750669323551,-0.007931822330462523,64.73815905134576,0.49283673762247826,0.39993915880245734,0.02556146505681209,-62185100.0,0.04608723106892665,0.013373463421371587,0.015683088009995898,1,0.013903426404976438,train
2023-02-15,153.11000061035156,155.5,152.8800048828125,155.3300018310547,65573800.0,10185578474.069214,0.013903426404976438,0.022446048599324087,0.06807405386689602,0.06076912498616238,67.37540970093204,0.4688222044036898,0.4920822085346001,0.024614970560023937,67508800.0,0.053395429711351694,0.011316097647879967,0.015531930061766666,0,-0.010429376798369527,train
2023-02-16,153.50999450683594,156.3300018310547,153.35000610351562,153.7100067138672,68167900.0,10478088366.670227,-0.010429376798369527,0.0188242307191282,0.019161909887961848,0.03879755305166199,63.486350298034516,0.2889402883889236,0.37064740308015387,0.02448244742623439,55348000.0,0.03593180895617709,0.012271983569203277,0.0159606077680573,0,-0.007546702305912589,train
2023-02-17,152.35000610351562,153.0,150.85000610351562,152.5500030517578,59144100.0,9022432635.49347,-0.007546702305912589,0.01019805708854693,-0.012621339470823223,-0.14199693828045667,60.78089366369022,0.04949045044423439,0.26558227856955113,0.024245709899247146,-61246800.0,0.023053089662405046,0.013308704963292516,0.01596276333667898,0,-0.026679824600448265,train
2023-02-21,150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,58867200.0,8740601604.492188,-0.026679824600448265,-0.03490419345426243,-0.021419627572098587,-0.004692779479064768,52.35127392230242,-0.40056548493064703,-0.0837238886224725,0.025122614609438654,-182313000.0,-0.006696525124429198,0.014525916669918072,0.01685249286552113,1,0.0028960664530148783,train
2023-02-22,148.8699951171875,149.9499969482422,147.16000366210938,148.91000366210938,51011300.0,7596092869.80896,0.0028960664530148783,-0.028002567699672798,-0.03711600686009131,-0.1432368800581756,53.091489981888884,-0.6709391355161944,-0.07976218943452962,0.024599070509182346,-69594100.0,-0.005941225497222757,0.015198965412599038,0.016763273104815367,1,0.0032905125399556034,train
2023-02-23,150.08999633789062,150.33999633789062,147.24000549316406,149.39999389648438,48394200.0,7230093184.625244,0.0032905125399556034,-0.03817683554153373,-0.016587706048143303,-0.05266720391784929,53.969002328471966,-0.8091608412342581,-0.07748194476341565,0.024249193321710643,-86773700.0,-0.005173928168541564,0.012255351297772301,0.016682040196687935,0,-0.018005269695533066,train
2023-02-24,147.11000061035156,147.19000244140625,145.72000122070312,146.7100067138672,55469600.0,8137945388.415527,-0.018005269695533066,-0.04554030117915864,-0.027573331596445372,0.13645514846921003,48.59452307306017,-1.058400946415519,-0.37823196190195507,0.024721643133416148,-74075400.0,-0.02397967071603102,0.013116189938001158,0.017041003360866537,1,0.008247504598905886,train
